frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.cap_len,frame.len,frame.number,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,tcp.len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,ip.proto
0.000000000,0.000000000,1696474015.149249000,,0.000000000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,0x0002,74,74,1,0,,0.000000000,0,64240,0x6a44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000106000,0.000106000,1696474015.149355000,,0.000106000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,0x0012,66,66,2,0,,0.000106000,0,65535,0x43ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002960000,0.002960000,1696474015.152315000,,0.003066000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,0x0010,54,54,3,0,0.003066000,0.002960000,0,502,0x82ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474015.152315000,,0.003066000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,0x0018,92,92,4,0,0.003066000,0.000000000,38,502,0xe1d4,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,36,,,1,password,8,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000515000,0.000515000,1696474015.152830000,,0.003581000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,0x0018,59,59,5,0,0.003066000,0.000515000,5,513,0x6202,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000088000,0.000088000,1696474015.152918000,,0.003669000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,0x0011,54,54,6,0,,0.000088000,0,513,0x8293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002406000,0.002406000,1696474015.155324000,,0.006075000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,0x0010,54,54,7,0,0.003066000,0.002406000,0,502,0x829f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474015.155324000,,0.006075000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,0x0011,54,54,8,0,0.003066000,0.000000000,0,502,0x829d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000072000,0.000072000,1696474015.155396000,,0.006147000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,0x0010,54,54,9,0,0.003066000,0.000072000,0,513,0x8292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003011000,1.003011000,1696474016.158407000,,1.009158000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,0x0002,74,74,10,1,,0.000000000,0,64240,0x19d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000102000,0.000102000,1696474016.158509000,,1.009260000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60469,0x0012,66,66,11,1,,0.000102000,0,65535,0xc75c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.003156000,0.003156000,1696474016.161665000,,1.012416000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,0x0010,54,54,12,1,0.003258000,0.003156000,0,502,0x063a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474016.161665000,,1.012416000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,0x0018,94,94,13,1,0.003258000,0.000000000,40,502,0x060d,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,38,,,1,password_1,10,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000495000,0.000495000,1696474016.162160000,,1.012911000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60469,0x0018,59,59,14,1,0.003258000,0.000495000,5,513,0xe56f,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000081000,0.000081000,1696474016.162241000,,1.012992000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60469,0x0011,54,54,15,1,,0.000081000,0,513,0x0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
