frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.cap_len,frame.len,frame.number,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,tcp.len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,ip.proto,target
0.0,0.0,1696474015.149249,1.0,0.0,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,2,74,74,1,0,1.0,0.0,0,64240,0x6a44,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
0.000106,0.000106,1696474015.149355,1.0,0.000106,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,18,66,66,2,0,1.0,0.000106,0,65535,0x43ed,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
0.00296,0.00296,1696474015.152315,1.0,0.003066,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,16,54,54,3,0,0.003066,0.00296,0,502,0x82ca,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
0.0,0.0,1696474015.152315,1.0,0.003066,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,24,92,92,4,0,0.003066,0.0,38,502,0xe1d4,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0xc2,1.0,0x10,60.0,36.0,1.0,1.0,1.0,password,8.0,4.0,MQTT,1.0,1.0,1.0,1.0,1.0,1.0,user1_david,11.0,5.0,1.0,1.0,1.0,1.0,6,bruteforce
0.000515,0.000515,1696474015.15283,1.0,0.003581,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,24,59,59,5,0,0.003066,0.000515,5,513,0x6202,1.0,1.0,0x00,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0x20,1.0,3.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
8.8e-05,8.8e-05,1696474015.152918,1.0,0.003669,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,17,54,54,6,0,1.0,8.8e-05,0,513,0x8293,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
0.002406,0.002406,1696474015.155324,1.0,0.006075,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,16,54,54,7,0,0.003066,0.002406,0,502,0x829f,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
0.0,0.0,1696474015.155324,1.0,0.006075,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49769,1883,17,54,54,8,0,0.003066,0.0,0,502,0x829d,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
7.2e-05,7.2e-05,1696474015.155396,1.0,0.006147,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49769,16,54,54,9,0,0.003066,7.2e-05,0,513,0x8292,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
1.003011,1.003011,1696474016.158407,1.0,1.009158,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,2,74,74,10,1,1.0,0.0,0,64240,0x19d2,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,bruteforce
